Designator,Mid X,Mid Y,Rotation,Layer
D5_8,186.26,-62.49,90.0,bottom
D5_7,210.26,-62.49,90.0,bottom
D5_6,90.26,-62.49,90.0,bottom
D5_5,138.26,-62.49,90.0,bottom
D5_4,234.26,-62.49,90.0,bottom
D5_3,162.26,-62.49,90.0,bottom
D5_2,114.26,-62.49,90.0,bottom
D5,42.26,-62.49,90.0,bottom
D6_9,186.26,-81.49,90.0,bottom
D6_8,210.26,-81.49,90.0,bottom
D6_7,234.26,-81.49,90.0,bottom
D6_6,42.26,-81.49,90.0,bottom
D6_5,162.26,-81.49,90.0,bottom
D6_4,90.26,-81.49,90.0,bottom
D6_3,66.26,-81.49,90.0,bottom
D6_2,114.26,-81.49,90.0,bottom
D6,138.26,-81.49,90.0,bottom
D7_9,210.96,-99.69,0.0,bottom
D7_8,42.96,-99.69,0.0,bottom
D7_7,114.96,-99.69,0.0,bottom
D7_6,90.96,-99.69,0.0,bottom
D7_5,234.96,-99.69,0.0,bottom
D7_4,186.96,-99.69,0.0,bottom
D7_3,162.96,-99.69,0.0,bottom
D7_2,138.96,-99.69,0.0,bottom
D7,66.96,-99.69,0.0,bottom
D8_9,234.26,-119.49,90.0,bottom
D8_8,138.26,-119.49,90.0,bottom
D8_7,114.26,-119.49,90.0,bottom
D8_6,42.26,-119.49,90.0,bottom
D8_5,210.26,-119.49,90.0,bottom
D8_4,66.26,-119.49,90.0,bottom
D8_3,90.26,-119.49,90.0,bottom
D8_2,162.26,-119.49,90.0,bottom
D8,186.26,-119.49,90.0,bottom
J2_9,58.76,-65.99,270.0,bottom
J2_8,250.76,-65.99,270.0,bottom
J2_7,222.76,-65.99,270.0,bottom
J2_6,154.76,-65.99,270.0,bottom
J2_5,82.76,-65.99,270.0,bottom
J2_4,202.76,-65.99,270.0,bottom
J2_3,178.76,-65.99,270.0,bottom
J2_2,106.76,-65.99,270.0,bottom
J2,130.76,-65.99,270.0,bottom
J3_9,66.76,-107.49,90.0,bottom
J3_8,90.76,-107.49,90.0,bottom
J3_7,162.76,-107.49,90.0,bottom
J3_6,138.76,-107.49,90.0,bottom
J3_5,186.76,-107.49,90.0,bottom
J3_4,42.76,-107.49,90.0,bottom
J3_3,114.76,-107.49,90.0,bottom
J3_2,234.76,-107.49,90.0,bottom
J3,210.76,-107.49,90.0,bottom
R1_9,245.51,-64.24,270.0,bottom
R1_8,221.51,-64.24,270.0,bottom
R1_7,125.51,-64.24,270.0,bottom
R1_6,53.51,-64.24,270.0,bottom
R1_5,197.51,-64.24,270.0,bottom
R1_4,173.51,-64.24,270.0,bottom
R1_3,149.51,-64.24,270.0,bottom
R1_2,101.51,-64.24,270.0,bottom
R1,77.51,-64.24,270.0,bottom
R2_9,45.76,-123.99,0.0,bottom
R2_8,93.76,-123.99,0.0,bottom
R2_7,117.76,-123.99,0.0,bottom
R2_6,141.76,-123.99,0.0,bottom
R2_5,69.76,-123.99,0.0,bottom
R2_4,237.76,-123.99,0.0,bottom
R2_3,213.76,-123.99,0.0,bottom
R2_2,165.76,-123.99,0.0,bottom
R2,189.76,-123.99,0.0,bottom
SW1_9,242.16,-57.6775,180.0,bottom
SW1_8,170.16,-57.6775,180.0,bottom
SW1_7,98.16,-57.6775,180.0,bottom
SW1_6,74.16,-57.6775,180.0,bottom
SW1_5,50.16,-57.6775,180.0,bottom
SW1_4,122.16,-57.6775,180.0,bottom
SW1_3,146.16,-57.6775,180.0,bottom
SW1_2,194.16,-57.6775,180.0,bottom
SW1,218.16,-57.6775,180.0,bottom
SW2_9,218.16,-76.6775,180.0,bottom
SW2_8,146.16,-76.6775,180.0,bottom
SW2_7,194.16,-76.6775,180.0,bottom
SW2_6,74.16,-76.6775,180.0,bottom
SW2_5,170.16,-76.6775,180.0,bottom
SW2_4,50.16,-76.6775,180.0,bottom
SW2_3,242.16,-76.6775,180.0,bottom
SW2_2,122.16,-76.6775,180.0,bottom
SW2,98.16,-76.6775,180.0,bottom
SW3_9,242.24,-95.6775,180.0,bottom
SW3_8,122.24,-95.6775,180.0,bottom
SW3_7,146.24,-95.6775,180.0,bottom
SW3_6,98.24,-95.6775,180.0,bottom
SW3_5,218.24,-95.6775,180.0,bottom
SW3_4,74.24,-95.6775,180.0,bottom
SW3_3,194.24,-95.6775,180.0,bottom
SW3_2,50.24,-95.6775,180.0,bottom
SW3,170.24,-95.6775,180.0,bottom
SW4_9,242.24,-114.6775,180.0,bottom
SW4_8,170.24,-114.6775,180.0,bottom
SW4_7,122.24,-114.6775,180.0,bottom
SW4_6,146.24,-114.6775,180.0,bottom
SW4_5,98.24,-114.6775,180.0,bottom
SW4_4,74.24,-114.6775,180.0,bottom
SW4_3,50.24,-114.6775,180.0,bottom
SW4_2,194.24,-114.6775,180.0,bottom
SW4,218.24,-114.6775,180.0,bottom
U1_9,69.26,-88.9575,0.0,bottom
U1_8,237.26,-88.9575,0.0,bottom
U1_7,117.26,-88.9575,0.0,bottom
U1_6,93.26,-88.9575,0.0,bottom
U1_5,141.26,-88.9575,0.0,bottom
U1_4,213.26,-88.9575,0.0,bottom
U1_3,189.26,-88.9575,0.0,bottom
U1_2,45.26,-88.9575,0.0,bottom
U1,165.26,-88.9575,0.0,bottom
